"featid","Key","Official.Name","Display.Name","System.Name","Asset.Number","Facilities.Code","Architect","Style","Location","Affiliation","Category","Primary.Use","UBC.Code","Planning","Condition","Operations","Ownership","Financing","Address","City","County","State","Zip.Code","Country","Address.Code","City.Code","County.Code","Floors","Height","Footprint","Perimeter","Basic.Gross","C.U.Gross","Circulation","Custodial","Mechanical","Parking","Toilet","Non.Assigned","Assignable","Space.Count","Net.Usable","Structural","Outside.Gross","Related.Gross","Maintained.Gross","Janitorized","Constructed","Occupied","Renovated","Vacated","Demolished","Construction","Capitalized","Replacement","Last.Reviewed","Prim..Usage..Percent.of.Net.Useable.","Primary.Usage..Type.","Prmary.Usage..SF.","Top.Org.with.Most.Space","Source...Campus.Steam.Loop","Sec..Usage..Percent.","Source...Campus.CHW.Loop","Secondary.Usage..Type.","Secondary.Usage..SF.","Dept..with.Most.Space","CAAN","CHW.Metered","Steam.Metered","Floor.Plans.PDF","Floor.Plans.DWG"
328,NA,"Orchard 6000","Orchard 6000","ORCHARD 6000","3899","F020",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6000 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1342 ORCHARD PARK CIR",1475,57,1,24,4700,0,4860,5920,370,0,0,0,0,370,4488,8,4858,2,10780,7820,7820,4858,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,85187,2569757,NA,92,"Residential - Apartment",4488,"VC STUDENT AFFAIRS","No",8,"No","Circulation",370,"STUDENT HOUSING","3899","No","No","3899","3899"
329,NA,"Orchard 5800","Orchard 5800","ORCHARD 5800","3900","F023",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5800 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1354 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,4488,8,7009,-961,8401,7225,7225,7009,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,85187,2374232,NA,64,"Residential - Apartment",4488,"VC STUDENT AFFAIRS","No",36,"No","Circulation",2521,"STUDENT HOUSING","3900","No","No","3900","3900"
330,NA,"Agronomy Seed Facility","Agronomy Seed Facility","AGRON SEED","4193","N023",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2460 Hutchison Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,39,5000,0,5000,0,64,0,0,0,68,132,4455,8,4587,413,5000,5000,5000,4587,1968,"1968-06-01T07:00:00Z",NA,NA,NA,0,171608,2033027,NA,86,"Special",3960,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",11,"No","Laboratory",495,"PLANT SCIENCES","4193","No","No","4193","4193"
331,NA,"Orchard 5100","Orchard 5100","ORCHARD 5100","3902","F031",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5100 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1396 ORCHARD PARK CIR",1475,57,1,24,4700,0,4860,5920,370,0,0,0,0,370,4488,8,4858,2,10780,7820,7820,4858,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,86107,2569757,NA,92,"Residential - Apartment",4488,"VC STUDENT AFFAIRS","No",8,"No","Circulation",370,"STUDENT HOUSING","3902","No","No","3902","3902"
332,NA,"Orchard 7500","Orchard 7500","ORCHARD 7500","3893","F002",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","7500 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1206 ORCHARD PARK CIR",1475,57,1,24,4700,0,5700,5920,90,0,0,0,0,90,4488,8,4578,1122,11620,8660,8660,4578,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,84400,2845793,NA,98,"Residential - Apartment",4488,"VC STUDENT AFFAIRS","No",2,"No","Circulation",90,"STUDENT HOUSING","3893","No","No","3893","3893"
333,NA,"Orchard 6800","Orchard 6800","ORCHARD 6800","3884","F012",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6800 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1248 ORCHARD PARK CIR",1475,57,1,24,4700,0,5700,5920,90,0,0,0,0,90,5610,10,5700,0,11620,8660,8660,5700,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,100369,2845793,NA,98,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",2,"No","Circulation",90,"STUDENT HOUSING","3884","No","No","3884","3884"
334,NA,"West Village Viridian 6","West Village Viridian 6","VIRIDIAN 6","4961","K025",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","RES - Non-Specific Residential","4 - Incombustible Frame","P - Permanent","1 - New, built within the past 5 years","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","1575 Jade Street","Davis","Yolo","CA",95616,"USA","WEST VILLAGE",1475,57,4,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,32000,32000,32000,32000,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4961",NA,NA,"4961","4961"
335,NA,"Orchard 6200","Orchard 6200","ORCHARD 6200","3898","F018",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6200 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1330 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,4488,8,7009,-961,8401,7225,7225,7009,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,106640,2374232,NA,64,"Residential - Apartment",4488,"VC STUDENT AFFAIRS","No",36,"No","Circulation",2521,"STUDENT HOUSING","3898","No","No","3898","3898"
336,NA,"Solano 1800","Solano 1800","SOLANO 1800","3856","A036",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1800 Solano Park Circle","Davis","Yolo","CA",NA,"USA","354 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111609,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3856","No","No","3856","3856"
337,NA,"Solano 1700","Solano 1700","SOLANO 1700","3857","A037",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1700 Solano Park Circle","Davis","Yolo","CA",NA,"USA","348 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111325,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3857","No","No","3857","3857"
338,NA,"Solano 3200","Solano 3200","SOLANO 3200","3867","A047",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3200 Solano Park Circle","Davis","Yolo","CA",NA,"USA","450 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111325,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3867","No","No","3867","3867"
339,NA,"Orchard 5700","Orchard 5700","ORCHARD 5700","3890","F026",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5700 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1366 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,99583,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3890","No","No","3890","3890"
340,NA,"Solano 3700","Solano 3700","SOLANO 3700","3859","A039",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3700 Solano Park Circle","Davis","Yolo","CA",NA,"USA","316 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,209695,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3859","No","No","3859","3859"
341,NA,"Orchard 6700","Orchard 6700","ORCHARD 6700","3885","F013",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6700 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1300 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,99583,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3885","No","No","3885","3885"
342,NA,"Solano 2000","Solano 2000","SOLANO 2000","3861","A041",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2000 Solano Park Circle","Davis","Yolo","CA",NA,"USA","366 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,112241,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3861","No","No","3861","3861"
343,NA,"Solano 4100","Solano 4100","SOLANO 4100","3851","A030",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","4100 Solano Park Circle","Davis","Yolo","CA",NA,"USA","254 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,880,0,4,0,0,884,5680,10,6564,-756,6688,6248,6248,6564,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111196,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",880,"STUDENT HOUSING","3851","No","No","3851","3851"
344,NA,"Solano 2400","Solano 2400","SOLANO 2400","3865","A045",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2400 Solano Park Circle","Davis","Yolo","CA",NA,"USA","302 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,112241,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3865","No","No","3865","3865"
345,NA,"Orchard 7200","Orchard 7200","ORCHARD 7200","3883","F007",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","7200 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1224 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,98796,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3883","No","No","3883","3883"
346,NA,"Solano 3000","Solano 3000","SOLANO 3000","3870","A050",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3000 Solano Park Circle","Davis","Yolo","CA",NA,"USA","438 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111325,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3870","No","No","3870","3870"
347,NA,"Orchard 6500","Orchard 6500","ORCHARD 6500","3886","F014",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6500 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1312 ORCHARD PARK CIR",1475,57,1,24,4700,0,5700,5920,90,0,0,0,0,90,5610,10,5700,0,11620,8660,8660,5700,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,100369,2845793,NA,98,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",2,"No","Circulation",90,"STUDENT HOUSING","3886","No","No","3886","3886"
348,NA,"Orchard 6300","Orchard 6300","ORCHARD 6300","3887","F017",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","6300 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1324 ORCHARD PARK CIR",1475,57,1,24,4700,0,4860,5920,5170,0,0,0,0,5170,5610,10,10780,-5920,10780,7820,7820,10780,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,99583,2569757,NA,52,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",48,"No","Circulation",5170,"STUDENT HOUSING","3887","No","No","3887","3887"
349,NA,"Solano 2800","Solano 2800","SOLANO 2800","3872","A052",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2800 Solano Park Circle","Davis","Yolo","CA",NA,"USA","426 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111325,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3872","No","No","3872","3872"
350,NA,"Agriculture Service Shed 3","Agriculture Service Shed 3","AG SERV SH 3","3796","L016",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPT - Support","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2245 Garrod Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,18,4500,0,4500,0,0,0,0,0,0,0,4328,1,4328,172,4500,4500,4500,4328,1962,"1962-01-01T08:00:00Z",NA,NA,NA,0,45659,1973493,NA,100,"Shop",4328,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",NA,"No",NA,NA,"O&M:AGRICULTURAL SERVICES","3796","No","No","3796","3796"
351,NA,"Orchard 5600","Orchard 5600","ORCHARD 5600","3889","F025",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5600 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1360 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,99583,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3889","No","No","3889","3889"
352,NA,"Solano 3900","Solano 3900","SOLANO 3900","3858","A038",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3900 Solano Park Circle","Davis","Yolo","CA",NA,"USA","328 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111325,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3858","No","No","3858","3858"
353,NA,"Solano 3500","Solano 3500","SOLANO 3500","3864","A044",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3500 Solano Park Circle","Davis","Yolo","CA",NA,"USA","304 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,110332,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3864","No","No","3864","3864"
354,NA,"Solano 1500","Solano 1500","SOLANO 1500","3853","A033",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1500 Solano Park Circle","Davis","Yolo","CA",NA,"USA","228 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,880,0,4,0,0,884,5680,10,6564,-756,6688,6248,6248,6564,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111414,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",880,"STUDENT HOUSING","3853","No","No","3853","3853"
355,NA,"Orchard 7600","Orchard 7600","ORCHARD 7600","3881","F001",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","7600 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1200 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,99583,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3881","No","No","3881","3881"
356,NA,"Orchard 5900","Orchard 5900","ORCHARD 5900","3888","F022",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5900 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1348 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,98796,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3888","No","No","3888","3888"
357,NA,"Solano 1400","Solano 1400","SOLANO 1400","3852","A032",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1400 Solano Park Circle","Davis","Yolo","CA",NA,"USA","248 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,880,0,4,0,0,884,5680,10,6564,-756,6688,6248,6248,6564,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111400,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",880,"STUDENT HOUSING","3852","No","No","3852","3852"
358,NA,"Solano 3400","Solano 3400","SOLANO 3400","3866","A046",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3400 Solano Park Circle","Davis","Yolo","CA",NA,"USA","462 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,840,0,4,0,0,844,5680,10,6524,-716,6688,6248,6248,6524,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,111676,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",840,"STUDENT HOUSING","3866","No","No","3866","3866"
359,NA,"Solano 4300","Solano 4300","SOLANO 4300","3850","A029",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","4300 Solano Park Circle","Davis","Yolo","CA",NA,"USA","234 SOLANO PARK CIR",1475,57,2,35,5000,0,5808,880,880,0,4,0,0,884,5680,10,6564,-756,6688,6248,6248,6564,1962,"1962-09-01T07:00:00Z",NA,NA,NA,0,112509,2053177,NA,87,"Residential - Apartment",5680,"VC STUDENT AFFAIRS","No",13,"No","Circulation",880,"STUDENT HOUSING","3850","No","No","3850","3850"
360,NA,"Orchard 5300","Orchard 5300","ORCHARD 5300","3891","F029",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5300 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1384 ORCHARD PARK CIR",1475,57,1,24,4700,0,5700,5920,90,0,0,0,0,90,5610,10,5700,0,11620,8660,8660,5700,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,98796,2845793,NA,98,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",2,"No","Circulation",90,"STUDENT HOUSING","3891","No","No","3891","3891"
361,NA,"Lath House 001","Lath House 001","LATH 001","3958","J020",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1097 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,6000,0,0,6000,0,0,0,0,0,0,5759,1,5759,-5759,6000,3000,3000,5759,1957,"1957-07-01T07:00:00Z",NA,NA,NA,0,10627,1098197,NA,100,"Greenhouse",5759,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",NA,"No",NA,NA,"CENTRALIZED GREENHOUSE","3958","No","No","3958","3958"
362,NA,"Orchard 5200","Orchard 5200","ORCHARD 5200","3892","F030",NA,NA,"03 - Davis","C - General Campus & Health Sciences","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","5200 Orchard Park Circle","Davis","Yolo","CA",NA,"USA","1390 ORCHARD PARK CIR",1475,57,1,24,5000,0,6048,2353,2521,0,0,0,0,2521,5610,10,8131,-2083,8401,7225,7225,8131,1964,"1964-08-01T07:00:00Z",NA,NA,NA,0,100369,2374232,NA,69,"Residential - Apartment",5610,"VC STUDENT AFFAIRS","No",31,"No","Circulation",2521,"STUDENT HOUSING","3892","No","No","3892","3892"
